id,age,priors_count,is_recid,duree_dehors,duree_prison,is_Male,Other,Farmer,Worker,OfficeWorker,Manager,CivilServant
1,69,0,0,2.5778538812785428,0.002739726027357392,True,1,0,0,0,0,0
3,34,0,1,3.1025114155249867,0.02579908675807019,True,0,1,0,0,0,0
4,24,4,1,2.9111872146120277,0.002739726027357392,True,0,1,0,0,0,0
7,44,0,0,2.280136986301386,0.0038812785387563054,True,1,0,0,0,0,0
8,41,14,1,2.050456621004514,0.016438356164371726,True,0,0,1,0,0,0
9,43,3,0,2.5340182648401424,0.002739726027357392,True,1,0,0,0,0,0
10,39,0,0,1.9835616438356283,0.008219178082072176,False,0,0,1,0,0,0
11,20,0,0,2.1721461187214572,0.0888127853881997,True,0,0,1,0,0,0
12,26,0,0,1.5191780821917291,0.002739726027357392,False,0,0,1,0,0,0
13,21,1,1,1.1803652968037568,0.002739726027357392,True,0,0,1,0,0,0
14,27,0,0,2.294977168949572,0.0027397260275847657,True,0,0,1,0,0,0
15,23,3,1,2.430365296803757,0.010958904109429568,True,0,1,0,0,0,0
16,37,0,0,3.194063926940771,0.002739726027357392,False,0,0,1,0,0,0
17,22,0,0,1.6146118721462699,0.0,True,0,0,1,0,0,0
18,41,0,0,2.4248858447488146,0.0027397260275847657,True,0,1,0,0,0,0
19,47,1,1,2.383789954337999,0.038356164383458236,False,0,0,1,0,0,0
20,31,7,1,1.7061643835615996,0.00821917808229955,True,0,1,0,0,0,0
21,37,0,0,1.9671232876712565,0.0,True,0,0,0,1,0,0
22,25,3,0,2.2226027397259713,0.002739726027357392,True,0,1,0,0,0,0
23,31,6,1,2.319634703196243,0.002739726027357392,True,0,0,1,0,0,0
24,31,5,1,1.325114155250958,0.0027397260275847657,True,0,0,1,0,0,0
25,64,13,1,1.8607305936072862,0.002739726027357392,True,0,1,0,0,0,0
26,21,1,1,2.8947488584474286,0.00821917808229955,True,0,1,0,0,0,0
27,27,0,1,1.4057077625570855,0.0,True,0,0,1,0,0,0
28,21,0,0,2.3086757990865863,0.002739726027357392,False,0,0,1,0,0,0
29,24,2,1,1.4029680365297281,0.002739726027357392,True,0,1,0,0,0,0
30,24,1,1,3.0915525114153297,0.0027397260275847657,True,0,0,0,1,0,0
31,42,1,0,1.3497716894976293,0.28401826484036974,True,0,0,1,0,0,0
32,43,1,0,3.1310502283106416,0.002739726027357392,True,0,0,1,0,0,0
33,32,0,0,2.8333333333332575,0.005479452054714784,True,1,0,0,0,0,0
34,54,0,0,2.5027397260273574,0.3004566210045141,False,0,1,0,0,0,0
35,44,8,0,1.5586757990865863,0.0,True,0,1,0,0,0,0
37,27,8,1,2.805936073059229,0.046575342465757785,True,0,1,0,0,0,0
38,36,3,0,2.836073059360615,0.002739726027357392,False,0,0,1,0,0,0
39,26,5,1,3.0614155251139437,0.0027397260275847657,True,0,1,0,0,0,0
40,33,0,1,1.280136986301386,0.10365296803661295,True,0,1,0,0,0,0
41,30,9,1,2.9972602739726426,0.12557077625569946,True,0,0,1,0,0,0
42,32,4,1,1.325114155250958,0.0027397260275847657,True,0,1,0,0,0,0
43,63,0,0,1.260958904109657,0.005479452054714784,True,0,1,0,0,0,0
44,27,2,0,1.3086757990865863,0.0,True,0,0,0,1,0,0
45,55,0,0,2.1979452054795274,0.005479452054714784,True,0,0,1,0,0,0
47,32,15,0,2.2363013698629857,0.2527397260273574,True,0,1,0,0,0,0
48,38,5,0,1.7143835616438992,0.4577625570775581,True,0,1,0,0,0,0
49,53,19,0,3.1310502283106416,0.016438356164371726,True,0,0,1,0,0,0
50,49,7,1,2.930365296803757,0.010958904109429568,True,1,0,0,0,0,0
51,26,6,0,2.6694063926941,0.034018264840142365,True,0,0,1,0,0,0
52,33,4,1,2.2472602739726426,0.03013698630138606,False,0,0,1,0,0,0
53,24,1,1,2.489041095890343,0.002739726027357392,True,0,0,1,0,0,0
54,34,21,1,3.0805936073059,0.0888127853881997,True,0,1,0,0,0,0
